GCM,RCP,Lat,Lat1,Lon,Lon1,Cul,Sow,Year,Yield,CWR,Biomass
mri-esm2-0,historical,40,25,-91,75,mag8,05-07,2000,8057.6,453.951,19784.29
ipsl-cm6a-lr,historical,40,25,-91,75,mag4,05-07,1983,16365.26,422.198,25801.35
mpi-esm1-2-hr,historical,40,25,-91,75,mag2,04-15,1995,3678.63,378.06899999999996,18793.05
ipsl-cm6a-lr,historical,40,25,-91,75,mag5,05-15,1985,9948.8,366.098,17532.43
ukesm1-0-ll,historical,40,25,-91,75,mag7,04-15,1992,8085.64,446.77099999999996,20049.64
mri-esm2-0,historical,40,25,-91,75,mag2,05-07,1999,9624.72,431.43,22173.0
mpi-esm1-2-hr,historical,40,25,-91,75,mag6,04-25,1992,8044.73,387.906,19128.6
ipsl-cm6a-lr,historical,40,25,-91,75,mag7,05-15,1996,8223.69,402.844,18291.17
gfdl-esm4,historical,40,25,-91,75,mag8,05-07,1984,2504.77,337.155,13561.1
mpi-esm1-2-hr,historical,40,25,-91,75,mag8,05-25,1992,8391.32,407.196,18759.46
gfdl-esm4,historical,40,25,-91,75,mag3,05-07,1989,10702.77,371.14,18944.76
gfdl-esm4,historical,40,25,-91,75,mag3,05-15,2000,6153.92,296.26599999999996,13076.2
ukesm1-0-ll,historical,40,25,-91,75,mag4,05-25,2000,10283.32,408.179,18081.49
ukesm1-0-ll,historical,40,25,-91,75,mag2,05-07,1986,11295.29,487.42,26664.26
mri-esm2-0,historical,40,25,-91,75,mag5,05-25,2000,8618.14,342.384,15756.01
ipsl-cm6a-lr,historical,40,25,-91,75,mag7,04-25,1983,11247.36,423.164,23529.93
ukesm1-0-ll,historical,40,25,-91,75,mag3,05-07,1982,10065.27,370.40999999999997,19683.58
gfdl-esm4,historical,40,25,-91,75,mag5,05-25,1984,5512.88,307.84799999999996,13913.21
ukesm1-0-ll,historical,40,25,-91,75,mag2,05-15,1984,8214.11,413.73900000000003,22327.31
mpi-esm1-2-hr,historical,40,25,-91,75,mag5,05-07,1992,8323.45,344.71,16864.31
ukesm1-0-ll,historical,40,25,-91,75,mag4,05-25,1990,11358.12,380.97,19514.0
mpi-esm1-2-hr,historical,40,25,-91,75,mag7,05-15,1983,10136.12,404.708,19907.04
mpi-esm1-2-hr,historical,40,25,-91,75,mag3,05-25,1992,7742.47,319.991,15425.45
ukesm1-0-ll,historical,40,25,-91,75,mag2,05-07,1990,7944.83,434.68199999999996,21514.68
gfdl-esm4,historical,40,25,-91,75,mag8,05-07,1989,9846.7,443.71000000000004,21576.09
mpi-esm1-2-hr,historical,40,25,-91,75,mag7,05-07,1997,2745.12,359.344,11587.83
gfdl-esm4,historical,40,25,-91,75,mag3,05-07,1984,3339.43,279.372,12900.71
ipsl-cm6a-lr,historical,40,25,-91,75,mag2,04-15,1996,9283.29,459.184,22536.54
ukesm1-0-ll,historical,40,25,-91,75,mag5,05-25,1982,11534.15,354.314,19860.23
ipsl-cm6a-lr,historical,40,25,-91,75,mag5,05-15,1988,7667.8,334.324,15395.01
mpi-esm1-2-hr,historical,40,25,-91,75,mag6,05-07,1993,10383.81,389.147,20074.09
ukesm1-0-ll,historical,40,25,-91,75,mag4,05-25,1986,17354.52,459.06,28136.56
mri-esm2-0,historical,40,25,-91,75,mag3,05-07,2000,8637.59,367.68,16830.05
mpi-esm1-2-hr,historical,40,25,-91,75,mag7,05-15,1995,2700.4,345.846,14400.19
ukesm1-0-ll,historical,40,25,-91,75,mag2,05-15,1992,9624.25,464.259,23038.57
ukesm1-0-ll,historical,40,25,-91,75,mag2,05-07,2000,8537.5,425.714,20364.58
gfdl-esm4,historical,40,25,-91,75,mag5,05-25,1989,10742.54,353.29499999999996,18616.46
ukesm1-0-ll,historical,40,25,-91,75,mag7,04-15,1984,9978.16,455.14599999999996,23818.98
mpi-esm1-2-hr,historical,40,25,-91,75,mag4,04-25,1997,6474.63,380.807,14623.22
ukesm1-0-ll,historical,40,25,-91,75,mag8,05-07,1982,9145.53,450.96900000000005,22297.51
mpi-esm1-2-hr,historical,40,25,-91,75,mag2,04-15,1983,10304.02,462.353,24267.45
mri-esm2-0,historical,40,25,-91,75,mag4,05-25,1999,11560.11,380.683,18428.46
gfdl-esm4,historical,40,25,-91,75,mag6,04-15,2000,7762.1,360.243,16585.04
ipsl-cm6a-lr,historical,40,25,-91,75,mag2,05-25,1983,7199.1,387.092,21581.69
mpi-esm1-2-hr,historical,40,25,-91,75,mag5,04-25,1993,10575.05,378.408,19370.71
