GCM,RCP,Lat,Lat1,Lon,Lon1,Cul,Sow,Year,Yield,CWR,Biomass
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag7,05-07,2097,4058.92,376.40299999999996,10878.96
gfdl-esm4,ssp585,40,25,-91,75,mag7,05-07,2092,5013.09,359.832,13308.23
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag3,05-25,2081,7761.15,335.994,13835.34
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag4,05-07,2092,6883.27,433.822,13673.8
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag5,05-15,2087,3086.67,323.832,6524.06
mri-esm2-0,ssp585,40,25,-91,75,mag4,05-15,2085,8310.44,385.45799999999997,15034.57
gfdl-esm4,ssp126,40,25,-91,75,mag5,05-15,2091,7337.95,390.326,15452.3
ukesm1-0-ll,ssp126,40,25,-91,75,mag3,05-15,2098,4581.1,326.86199999999997,9623.55
ukesm1-0-ll,ssp585,40,25,-91,75,mag8,05-15,2087,1987.87,402.178,7286.4
ukesm1-0-ll,ssp585,40,25,-91,75,mag6,04-15,2087,4042.84,351.898,8428.83
ukesm1-0-ll,ssp370,40,25,-91,75,mag5,05-15,2091,2015.81,284.282,4981.59
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag2,04-15,2099,6579.64,528.635,16808.06
ukesm1-0-ll,ssp370,40,25,-91,75,mag3,04-15,2090,4515.69,350.879,9249.77
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag7,04-15,2100,7534.45,392.077,16072.42
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag7,04-25,2092,4175.54,446.68500000000006,13080.75
gfdl-esm4,ssp585,40,25,-91,75,mag4,04-25,2092,8217.37,385.427,16053.62
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag4,04-25,2097,7675.66,423.51599999999996,14535.21
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,04-15,2098,3725.75,369.20799999999997,9531.11
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag3,05-25,2089,5311.9,322.76800000000003,10378.69
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,05-25,2081,4880.77,367.36400000000003,9962.39
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag5,05-07,2089,6703.0,368.831,13440.01
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-07,2081,6089.0,429.243,16837.62
ukesm1-0-ll,ssp126,40,25,-91,75,mag6,04-15,2098,5397.5,410.132,13366.18
ukesm1-0-ll,ssp585,40,25,-91,75,mag3,05-15,2087,1997.32,303.631,5115.0
ukesm1-0-ll,ssp126,40,25,-91,75,mag8,05-15,2098,3780.42,417.86,11562.07
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag7,05-15,2099,2348.19,373.80899999999997,6582.79
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,05-15,2098,4567.41,374.859,9669.01
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag8,05-25,2081,7799.35,424.403,17879.63
mri-esm2-0,ssp585,40,25,-91,75,mag4,04-25,2086,8864.12,417.377,15807.2
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag6,04-25,2081,8262.73,385.116,16843.03
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,04-15,2099,4508.16,397.504,9085.51
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag5,04-15,2090,5232.98,351.301,9414.17
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-15,2098,4300.35,495.30899999999997,12952.35
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag8,05-25,2089,4559.86,401.421,13044.61
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag6,04-25,2089,6746.6,403.12800000000004,15099.28
ukesm1-0-ll,ssp370,40,25,-91,75,mag6,05-15,2090,1842.39,319.79600000000005,5494.09
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag2,05-15,2100,8471.79,452.068,20071.43
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag5,05-07,2081,7941.0,348.121,14925.62
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag2,05-25,2092,7861.29,472.721,17759.62
mri-esm2-0,ssp585,40,25,-91,75,mag7,05-07,2086,6161.59,382.009,14179.21
ukesm1-0-ll,ssp370,40,25,-91,75,mag8,04-15,2090,3288.8,431.92499999999995,11243.28
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,04-25,2098,3196.04,358.988,8653.77
ukesm1-0-ll,ssp585,40,25,-91,75,mag5,05-07,2087,2125.24,323.199,5231.45
