;model_label;year;precipitation;temperature
0;historical_ukesm1-0-ll;1966;0.013059703;282.8221436
1;historical_ukesm1-0-ll;1968;0.016891874;284.8797607
2;historical_ukesm1-0-ll;1970;0.012337644;283.7982788
3;historical_gfdl-esm4;1979;0.015003094;285.5897827
4;historical_gfdl-esm4;1963;0.016903831;285.2104797
5;historical_ukesm1-0-ll;1963;0.018334838;283.723877
6;historical_mri-esm2-0;1976;0.010988077;283.5672913
7;historical_ipsl-cm6a-lr;1975;0.010184973;284.3622437
8;historical_mpi-esm1-2-hr;1968;0.012765694;285.7113037
9;historical_mpi-esm1-2-hr;1975;0.014519407;281.793396
10;historical_mri-esm2-0;1969;0.009192661;283.6853333
11;historical_ipsl-cm6a-lr;1961;0.0153698;284.339447
12;historical_mri-esm2-0;1964;0.016690092;285.2017517
13;historical_gfdl-esm4;1967;0.017200409;283.2244873
14;historical_mpi-esm1-2-hr;1967;0.012133143;285.9139404
15;historical_ukesm1-0-ll;1977;0.014434162;284.1543884
16;historical_ukesm1-0-ll;1974;0.018662121;283.4320679
17;historical_mpi-esm1-2-hr;1973;0.010392057;286.361084
18;historical_ukesm1-0-ll;1962;0.01582337;282.3390198
19;historical_gfdl-esm4;1980;0.012227754;287.5948486
